"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"23.04.2024","7,2448","7,2446","7,2472","7,244","---","0,02%"
"22.04.2024","7,243","7,2407","7,2439","7,2407","---","0,04%"
"19.04.2024","7,2403","7,2396","7,2429","7,2386","---","0,03%"
"18.04.2024","7,2382","7,2347","7,2397","7,2332","---","0%"
"17.04.2024","7,2384","7,2366","7,2404","7,2339","---","0,02%"
"16.04.2024","7,237","7,2405","7,2405","7,2329","---","-0,01%"
"15.04.2024","7,2378","7,2368","7,2387","7,2365","---","0,01%"
"12.04.2024","7,2371","7,2358","7,2376","7,2358","---","0%"
"11.04.2024","7,2373","7,2359","7,2374","7,2345","---","0,05%"
"10.04.2024","7,234","7,2326","7,2347","7,2278","---","0,03%"
"09.04.2024","7,2316","7,2334","7,2345","7,2291","---","0,01%"
"08.04.2024","7,2306","7,2285","7,2343","7,2281","---","-0,03%"
"05.04.2024","7,233","7,233","7,233","7,233","---","0%"
"04.04.2024","7,233","7,233","7,233","7,233","---","0%"
"03.04.2024","7,233","7,2334","7,2361","7,2331","---","0,01%"
"02.04.2024","7,232","7,2312","7,2361","7,2302","---","0,02%"
"01.04.2024","7,2305","7,2249","7,2309","7,2249","---","0,14%"
"29.03.2024","7,2203","7,2261","7,2283","7,2193","---","-0,08%"
"28.03.2024","7,2262","7,2263","7,2305","7,2224","---","-0,01%"
"27.03.2024","7,227","7,2187","7,2291","7,2187","---","0,13%"
"26.03.2024","7,2176","7,209","7,2208","7,2084","---","0,1%"
"25.03.2024","7,2102","7,2081","7,214","7,1949","---","-0,26%"
"22.03.2024","7,2293","7,1995","7,2304","7,1995","---","0,42%"
"21.03.2024","7,1993","7,1952","7,1996","7,1947","---","0%"
"20.03.2024","7,1992","7,1988","7,1996","7,1979","---","0%"
"19.03.2024","7,1991","7,1981","7,1996","7,1975","---","0,01%"
"18.03.2024","7,1981","7,198","7,1986","7,1962","---","0,04%"
"15.03.2024","7,1954","7,1954","7,1969","7,1945","---","0,03%"
"14.03.2024","7,1932","7,1894","7,1947","7,1885","---","0,1%"
"13.03.2024","7,1861","7,1838","7,1953","7,1838","---","0,08%"
"12.03.2024","7,18","7,178","7,1816","7,1716","---","-0,03%"
"11.03.2024","7,182","7,189","7,1923","7,1798","---","-0,05%"
"08.03.2024","7,1855","7,1911","7,1943","7,1837","---","-0,1%"
"07.03.2024","7,1926","7,195","7,1989","7,1928","---","-0,06%"
"06.03.2024","7,1971","7,198","7,1995","7,1973","---","0,01%"
"05.03.2024","7,1965","7,1983","7,1994","7,1936","---","-0,03%"
"04.03.2024","7,1987","7,1968","7,1995","7,1961","---","0,04%"
"01.03.2024","7,196","7,1934","7,1993","7,1933","---","0,12%"
"29.02.2024","7,1877","7,1971","7,1971","7,188","---","-0,14%"
"28.02.2024","7,1976","7,198","7,1995","7,1978","---","0%"
"27.02.2024","7,1977","7,1976","7,1988","7,1961","---","0,01%"
"26.02.2024","7,1971","7,1964","7,1986","7,1959","---","0,03%"
"23.02.2024","7,1952","7,1942","7,1993","7,1901","---","0,01%"
"22.02.2024","7,1944","7,1897","7,1947","7,1859","---","0,07%"
"21.02.2024","7,1891","7,1968","7,197","7,1782","---","-0,02%"
"20.02.2024","7,1905","7,1968","7,1986","7,1907","---","-0,1%"
"19.02.2024","7,1975","7,1938","7,1987","7,1937","---","0,06%"
"16.02.2024","7,1929","7,1929","7,1929","7,1929","---","0%"
"15.02.2024","7,1929","7,1929","7,1929","7,1929","---","0%"
"14.02.2024","7,1929","7,1929","7,1929","7,1929","---","0%"
"13.02.2024","7,1929","7,1929","7,1929","7,1929","---","0%"
"12.02.2024","7,1929","7,1929","7,1929","7,1929","---","0%"
"09.02.2024","7,1929","7,1943","7,1974","7,1916","---","-0,05%"
"08.02.2024","7,1965","7,1904","7,1969","7,1901","---","0,03%"
"07.02.2024","7,1942","7,1888","7,1954","7,1824","---","0,05%"
"06.02.2024","7,1908","7,1951","7,1979","7,1874","---","-0,1%"
"05.02.2024","7,1982","7,1958","7,1986","7,194","---","0,09%"
"02.02.2024","7,192","7,1773","7,193","7,1765","---","0,17%"
"01.02.2024","7,1799","7,1789","7,1844","7,1764","---","0,18%"
"31.01.2024","7,1673","7,1787","7,1828","7,1677","---","-0,11%"
"30.01.2024","7,1755","7,1771","7,1796","7,1746","---","-0,06%"
"29.01.2024","7,1799","7,1792","7,1833","7,1764","---","0,05%"
"26.01.2024","7,1763","7,175","7,1826","7,1711","---","0,1%"
"25.01.2024","7,169","7,1528","7,1726","7,1528","---","0,24%"
"24.01.2024","7,1515","7,1698","7,1759","7,1439","---","-0,29%"
"23.01.2024","7,172","7,1914","7,1936","7,1634","---","-0,28%"
"22.01.2024","7,192","7,1926","7,1973","7,1909","---","-0,02%"
"19.01.2024","7,1931","7,1933","7,1965","7,1884","---","-0,04%"
"18.01.2024","7,1961","7,1908","7,1972","7,1907","---","0%"
